LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000649093-0001-9,"MCDONALD'S RESTAURANTS OF CALIFORNIA, INC.",MCDONALD'S 5547 | MCDONALDS #5547,1452 W CARSON STREET,TORRANCE,90501-3920,1452 CARSON 90501-3920,POST OFFICE BOX #183090,COLUMBUS,43218-3090,722110,Full-service restaurants,15,10/01/1962,,"(33.8315, -118.3028)"
0003225118-0001-1,NZMK INC.,MCDONALD'S,1210 S SOTO STREET,LOS ANGELES,90023-2616,1210 SOTO 90023,1210 S SOTO STREET,LOS ANGELES,90023-2616,,,14,12/14/2020,,"(34.0276, -118.2192)"
0003251647-0003-4,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 10129,245 N SOTO STREET,LOS ANGELES,90033-2914,245 SOTO 90033,1000   LAKES DRIVE   SUITE #165,WEST COVINA,91790-2914,722110,Full-service restaurants,14,02/01/2021,,"(34.0463, -118.2086)"
0003251647-0001-8,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 11377,2224 N FIGUEROA STREET,LOS ANGELES,90065-1024,2224 FIGUEROA 90065,1000   LAKES DRIVE   SUITE #165,WEST COVINA,91790-2914,722110,Full-service restaurants,1,02/01/2021,,"(34.0831, -118.2227)"
0000289721-0003-1,HOMAK ENTERPRISES INC,MCDONALD'S # 17114,23340 AVENUE SAN LUIS,WOODLAND HILLS,91364-1099,23340 AVENUE SAN LUIS 91364-1099,15700 VENTURA BLVD,ENCINO,91436-2904,722110,Full-service restaurants,3,07/28/2015,,"(34.16, -118.6348)"
0000584039-0001-8,AL-MATT INC,MCDONALD'S RESTAURANT,505 W FLORENCE AVENUE,LOS ANGELES,90044-6101,505 FLORENCE 90044-6101,201 E ROOSEVELT ROAD,LONG BEACH,90807-2609,722110,Full-service restaurants,8,11/15/2001,,"(33.9746, -118.2829)"
0003251647-0004-2,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 1304,1716   MARENGO STREET,LOS ANGELES,90033-1315,1716 MARENGO 90033,1000   LAKES DRIVE   SUITE #165,WEST COVINA,91790-2914,722110,Full-service restaurants,14,02/01/2021,,"(34.0585, -118.2123)"
0002518494-0001-3,2MANGAS INCORPORATED,CRENSHAW MCDONALD'S #10070,4292 CRENSHAW BLVD,LOS ANGELES,90008-2535,4292 CRENSHAW 90008-2535,723 S GLASGOW AVENUE UNIT #C,INGLEWOOD,90301-3019,722211,Limited-service eating places,8,08/01/2010,,"(34.0055, -118.3339)"
0000275170-0002-2,GARCO ENTERPRISES INC,MCDONALD'S #7072,10611 W PICO BLVD,LOS ANGELES,90064-2213,10611 PICO 90064-2213,,,,722110,Full-service restaurants,5,03/01/1999,,"(34.0433, -118.4222)"
0003251647-0002-6,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 1136,3458   WHITTIER BLVD,LOS ANGELES,90023-1708,3458 WHITTIER 90023,1000   LAKES DRIVE   SUITE #165,WEST COVINA,91790-2914,722110,Full-service restaurants,14,02/01/2021,,"(34.0267, -118.1993)"
