LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,LOCATION
0000008207-0001-5,STARBUCKS CORPORATION,STARBUCKS #5759,22815 VICTORY BLVD #A,CANOGA PARK,91307-3953,22815 VICTORY 91307-3953,"(34.1864, -118.6236)"
0000008207-0002-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #643,16461 VENTURA BLVD #A,ENCINO,91436-4370,16461 VENTURA 91436-4370,"(34.1574, -118.4914)"
0000008207-0003-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #5642,5166 LANKERSHIM BLVD,N HOLLYWOOD,91601-3799,5166 LANKERSHIM 91601-3799,"(34.1643, -118.3743)"
0000008207-0004-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #6745,6840 RESEDA BLVD,RESEDA,91335-4204,6840 RESEDA 91335-4204,"(34.1945, -118.536)"
0000008207-0005-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #13365,12520 SHERMAN WAY,NORTH HOLLYWOOD,91605-5236,12520 SHERMAN 91605-5236,"(34.2012, -118.406)"
0000008207-0006-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #16710,9157 DE SOTO AVENUE,CHATSWORTH,91311-4906,9157 DE SOTO 91311-4906,"(34.2372, -118.5885)"
0000008207-0011-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #18869,23355 MULHOLLAND DRIVE,WOODLAND HILLS,91364-2734,23355 MULHOLLAND 91364-2734,"(34.1576, -118.6353)"
0000008207-0012-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #19305,16926 ROSCOE BLVD,VAN NUYS,91406-1101,16926 ROSCOE 91406-1101,"(34.2212, -118.5014)"
0000008207-0013-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #19883,639 N BROADWAY,LOS ANGELES,90012-2801,639 BROADWAY 90012-2801,"(34.0592, -118.2398)"
0000008207-0014-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #18356,14006 RIVERSIDE DRIVE #24C,SHERMAN OAKS,91423-6328,14006 RIVERSIDE 91423-6328,"(34.1576, -118.4381)"
0000008207-0015-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #20680,1680 LOMITA BLVD,HARBOR CITY,90710-2028,1680 LOMITA 90710-2028,"(33.7978, -118.3069)"
0000008207-0016-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #20770,516 PALISADES DRIVE,PACIFIC PALISADES,90272-2844,516 PALISADES 90272-2844,"(34.0455, -118.5519)"
