crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
232014896,2023-09-01,2023-09-01,2130,20,Olympic,210,ROBBERY,49,M,W,VERMONT,34.0598,-118.2865
232014928,2023-09-02,2023-08-31,1400,20,Olympic,510,VEHICLE - STOLEN,0,X,X,VERMONT,34.0691,-118.2917
230814043,2023-09-02,2023-09-02,1300,8,West LA,888,TRESPASSING,0,X,X,TEMESCAL CAN,34.0385,-118.5258
230119130,2023-09-03,2023-09-03,640,1,Central,761,BRANDISH WEAPON,60,F,B,3RD,34.0545,-118.2534
230119275,2023-09-05,2023-09-03,1900,1,Central,310,BURGLARY,25,F,W,600 S  BROADWAY,34.0466,-118.2520
230119430,2023-09-07,2023-09-07,2030,1,Central,624,BATTERY - SIMPLE ASSAULT,37,M,B,7TH,34.0494,-118.2599
230119473,2023-09-08,2023-09-08,1640,1,Central,210,ROBBERY,34,M,B,7TH,34.0420,-118.2485
230814339,2023-09-10,2023-09-10,400,8,West LA,310,BURGLARY,28,M,W,1000    TIVERTON                     AV,34.0621,-118.4428
230600947,2023-09-11,2023-09-11,1550,6,Hollywood,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,69,M,B,HOLLYWOOD,34.1017,-118.3180
230119974,2023-09-16,2023-09-16,1440,1,Central,510,VEHICLE - STOLEN,0,X,X,8TH,34.0413,-118.2517
231715424,2023-09-19,2023-09-19,1350,17,Devonshire,624,BATTERY - SIMPLE ASSAULT,45,M,W,RESEDA,34.2354,-118.5361
230615645,2023-09-23,2023-09-23,1345,6,Hollywood,310,BURGLARY,25,F,W,GORDON,34.0980,-118.3197
230120555,2023-09-25,2023-09-24,900,1,Central,210,ROBBERY,33,M,B,5TH,34.0471,-118.2491
230120579,2023-09-25,2023-09-25,1,1,Central,330,BURGLARY FROM VEHICLE,35,M,O,9TH,34.0430,-118.2571
231515475,2023-09-29,2023-09-27,1,15,N Hollywood,330,BURGLARY FROM VEHICLE,25,M,W,5500    BONNER                       AV,34.1700,-118.3741
230121094,2023-10-03,2023-09-27,316,1,Central,354,THEFT OF IDENTITY,39,M,P,800 S  BROADWAY,34.0437,-118.2547
230218599,2023-10-04,2023-10-04,1325,2,Rampart,624,BATTERY - SIMPLE ASSAULT,50,M,H,6TH,34.0579,-118.2711
230218539,2023-10-04,2023-10-04,45,2,Rampart,210,ROBBERY,25,M,H,WILSHIRE,34.0605,-118.2814
230317587,2023-10-05,2023-10-04,2345,3,Southwest,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,X,CRENSHAW,34.0074,-118.3290
231716204,2023-10-07,2023-10-07,1644,17,Devonshire,210,ROBBERY,0,X,X,PORTER RANCH                 DR,34.2756,-118.5701
232016348,2023-10-09,2023-10-09,1415,20,Olympic,888,TRESPASSING,0,X,X,WILSHIRE,34.0618,-118.2917
230121415,2023-10-09,2023-10-09,22,1,Central,890,FAILURE TO YIELD,0,X,X,9TH,34.0483,-118.2631
230121538,2023-10-09,2023-10-09,1800,1,Central,330,BURGLARY FROM VEHICLE,55,M,B,4TH,34.0505,-118.2509
230121565,2023-10-10,2023-10-08,2300,1,Central,850,INDECENT EXPOSURE,44,M,A,300 S  BROADWAY,34.0510,-118.2480
232016446,2023-10-11,2023-10-11,1655,20,Olympic,626,INTIMATE PARTNER - SIMPLE ASSAULT,50,F,B,ARDMORE,34.0617,-118.3016
230616552,2023-10-15,2023-10-15,1840,6,Hollywood,350,"THEFT, PERSON",28,F,H,LA BREA,34.0871,-118.3441
230122187,2023-10-18,2023-10-16,2100,1,Central,310,BURGLARY,0,X,X,1100 S  MAIN                         ST,34.0391,-118.2582
230318399,2023-10-20,2023-10-16,1700,3,Southwest,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,X,PORTLAND,34.0338,-118.2809
230616829,2023-10-22,2023-10-22,30,6,Hollywood,210,ROBBERY,22,M,W,SELMA                        AV,34.0998,-118.3338
232116383,2023-11-13,2023-11-12,2000,21,Topanga,330,BURGLARY FROM VEHICLE,38,F,W,OWENSMOUTH,34.1793,-118.6015
230716205,2023-10-23,2023-10-22,2230,7,Wilshire,330,BURGLARY FROM VEHICLE,54,M,H,VENICE,34.0459,-118.3454
230122589,2023-10-24,2023-10-24,100,1,Central,121,"RAPE, FORCIBLE",55,F,B,11TH,34.0396,-118.2590
230616955,2023-10-25,2023-10-21,2230,6,Hollywood,352,PICKPOCKET,24,M,H,HOLLYWOOD,34.1016,-118.3267
232017873,2023-11-13,2023-11-11,2300,20,Olympic,210,ROBBERY,34,M,H,8TH                          ST,34.0577,-118.2941
230219865,2023-10-28,2023-10-28,1200,2,Rampart,310,BURGLARY,66,F,H,400    UNION                        DR,34.0573,-118.2686
