"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Crm Cd","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","LOCATION","LAT","LON"
"230916964","12/1/2023 0:00","10/3/2023 0:00","1635","9","Van Nuys","440","THEFT PLAIN - PETTY ($950 & UNDER)","25","F","H","5000    COLDWATER CANYON             AV","34.1613","-118.4138"
"231614579","12/1/2023 0:00","9/11/2023 0:00","1100","16","Foothill","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0","X","X","12100    FOOTHILL                     BL","34.2798","-118.3997"
"231116327","12/1/2023 0:00","12/1/2023 0:00","640","11","Northeast","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0","","","4600    COLORADO                     BL","34.1412","-118.2731"
"231718642","12/1/2023 0:00","11/21/2023 0:00","2101","17","Devonshire","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0","X","X","11100    BALBOA                       BL","34.2757","-118.5144"
"230916930","12/1/2023 0:00","11/30/2023 0:00","1700","9","Van Nuys","510","VEHICLE - STOLEN","0","","","14700    VICTORY                      BL","34.1867","-118.4531"
"231421133","12/1/2023 0:00","12/1/2023 0:00","1630","14","Pacific","761","BRANDISH WEAPON","45","F","H","8800    READING                      AV","33.9579","-118.3819"
"232018626","12/1/2023 0:00","12/1/2023 0:00","2300","20","Olympic","624","BATTERY - SIMPLE ASSAULT","31","M","H","3700    WILSHIRE                     BL","34.0636","-118.3047"
"231820205","12/1/2023 0:00","12/1/2023 0:00","2000","18","Southeast","624","BATTERY - SIMPLE ASSAULT","34","X","X","10700 S  VERMONT                      AV","33.9391","-118.2916"
"232117180","12/1/2023 0:00","11/30/2023 0:00","319","21","Topanga","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","47","F","H","7500    WINNETKA                     AV","34.2059","-118.571"
"231917321","12/1/2023 0:00","11/28/2023 0:00","1838","19","Mission","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0","X","X","7800    VAN NUYS                     BL","34.2153","-118.4409"
"231820192","12/1/2023 0:00","12/1/2023 0:00","2100","18","Southeast","822","HUMAN TRAFFICKING - COMMERCIAL SEX ACTS","16","F","B","97TH                         ST","33.9483","-118.2827"
"231321405","12/1/2023 0:00","11/1/2023 0:00","1200","13","Newton","624","BATTERY - SIMPLE ASSAULT","10","M","B","1200 E  52ND                         ST","33.996","-118.2541"
"231518369","12/1/2023 0:00","11/27/2023 0:00","235","15","N Hollywood","330","BURGLARY FROM VEHICLE","29","M","W","11500    CUMPSTON                     ST","34.1697","-118.3822"
"231820203","12/1/2023 0:00","12/1/2023 0:00","1200","18","Southeast","624","BATTERY - SIMPLE ASSAULT","79","M","B","2300    SANTA ANA                    BL","33.9347","-118.2319"
"230916957","12/1/2023 0:00","11/15/2023 0:00","1400","9","Van Nuys","440","THEFT PLAIN - PETTY ($950 & UNDER)","0","M","W","14300    VENTURA                      BL","34.1502","-118.4443"
"231518334","12/1/2023 0:00","11/30/2023 0:00","1930","15","N Hollywood","510","VEHICLE - STOLEN","0","","","10800    MAGNOLIA                     BL","34.1649","-118.3659"
"231421139","12/1/2023 0:00","11/30/2023 0:00","2000","14","Pacific","330","BURGLARY FROM VEHICLE","33","M","B","5700 W  CENTINELA                    AV","33.9764","-118.381"
"231820202","12/1/2023 0:00","12/1/2023 0:00","1520","18","Southeast","624","BATTERY - SIMPLE ASSAULT","13","M","B","111TH                        ST","33.9398","-118.2611"
"231224078","12/1/2023 0:00","11/29/2023 0:00","2000","12","77th Street","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0","","","900 E  84TH                         ST","33.9629","-118.2586"
"231518381","12/1/2023 0:00","11/30/2023 0:00","1645","15","N Hollywood","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","24","M","H","11200    BURBANK                      BL","34.1722","-118.375"
"232018582","12/1/2023 0:00","7/14/2023 0:00","1300","20","Olympic","354","THEFT OF IDENTITY","0","X","X","3700    WILSHIRE                     BL","34.0636","-118.3047"
"231421197","12/1/2023 0:00","11/27/2023 0:00","745","14","Pacific","330","BURGLARY FROM VEHICLE","59","M","W","300    WORLD                        WY","33.9455","-118.4001"
"231016642","12/1/2023 0:00","12/1/2023 0:00","1","10","West Valley","510","VEHICLE - STOLEN","0","","","7300    WISH                         AV","34.2035","-118.5068"
"231614577","12/1/2023 0:00","10/6/2023 0:00","1000","16","Foothill","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0","X","X","10700    SUTTER                       AV","34.2644","-118.4189"
"231518386","12/1/2023 0:00","12/1/2023 0:00","1345","15","N Hollywood","624","BATTERY - SIMPLE ASSAULT","63","F","W","6600    LAUREL CANYON                BL","34.2003","-118.4002"
"231016782","12/1/2023 0:00","12/1/2023 0:00","640","10","West Valley","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","25","F","H","16100    VANOWEN                      ST","34.1976","-118.4799"
"231614573","12/1/2023 0:00","9/26/2023 0:00","1450","16","Foothill","440","THEFT PLAIN - PETTY ($950 & UNDER)","63","F","W","7900    SHADYGLADE                   AV","34.2141","-118.402"
"230916962","12/1/2023 0:00","9/30/2023 0:00","1523","9","Van Nuys","440","THEFT PLAIN - PETTY ($950 & UNDER)","27","M","H","6700    VAN NUYS                     BL","34.1924","-118.4487"
