DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,LOCATION,LAT,LON
231518531,12/04/2023 12:00:00 AM,01/01/2021 12:00:00 AM,0735,15,N Hollywood,354,THEFT OF IDENTITY,44,M,H,12400    MAGNOLIA                     BL,34.1649,-118.4034
231718685,12/04/2023 12:00:00 AM,12/22/2022 12:00:00 AM,0130,17,Devonshire,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,23,F,H,9700    TOPANGA CANYON               BL,34.2467,-118.6065
232018744,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1020,20,Olympic,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",37,F,H,600    WILSHIRE                     PL,34.0618,-118.2878
231518489,12/04/2023 12:00:00 AM,09/08/2022 12:00:00 AM,1800,15,N Hollywood,860,BATTERY WITH SEXUAL CONTACT,25,F,W,12000    HART                         ST,34.1976,-118.3943
231016760,12/04/2023 12:00:00 AM,10/21/2023 12:00:00 AM,1235,10,West Valley,354,THEFT OF IDENTITY,46,F,W,3900    HAYVENHURST                  AV,34.1417,-118.4973
231421243,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0830,14,Pacific,310,BURGLARY,53,F,A,7700    DENROCK                      AV,33.9715,-118.4083
230125580,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1845,01,Central,888,TRESPASSING,0,X,X,200 S  HILL                         ST,34.0547,-118.2505
231518479,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,2045,15,N Hollywood,440,THEFT PLAIN - PETTY ($950 & UNDER),50,F,H,CUMPSTON,34.17,-118.379
230516656,12/04/2023 12:00:00 AM,02/01/2022 12:00:00 AM,0005,05,Harbor,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),13,F,H,400 W  2ND                          ST,33.7424,-118.2857
230320880,12/04/2023 12:00:00 AM,11/23/2023 12:00:00 AM,1300,03,Southwest,662,"BUNCO, GRAND THEFT",40,F,B,4500    10TH                         AV,34.0025,-118.3281
230718051,12/04/2023 12:00:00 AM,10/19/2023 12:00:00 AM,1219,07,Wilshire,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0,,,1200 S  LA BREA                      AV,34.0534,-118.3436
231116470,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,2345,11,Northeast,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),35,M,H,2300    DORRIS                       PL,34.0915,-118.2369
230516520,12/04/2023 12:00:00 AM,10/15/2023 12:00:00 AM,1445,05,Harbor,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",85,M,W,26200    FRAMPTON                     AV,33.7846,-118.3
231001087,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,2230,10,West Valley,310,BURGLARY,65,M,W,4900    CALVIN                       AV,34.1604,-118.5612
230125596,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0140,01,Central,310,BURGLARY,0,X,X,100 E  7TH                          ST,34.0446,-118.2507
230125568,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,1240,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),32,F,W,1000 S  HILL                         ST,34.0417,-118.2584
231224251,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0305,12,77th Street,890,FAILURE TO YIELD,0,X,X,HARBOR                       FY,33.9622,-118.285
230718029,12/04/2023 12:00:00 AM,10/02/2023 12:00:00 AM,0715,07,Wilshire,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),59,M,W,CURSON                       AV,34.037,-118.3644
231917386,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0314,19,Mission,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34,M,H,NORDHOFF,34.2354,-118.4502
