DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230126056,12/11/23 0:00,12/11/23 0:00,30,1,Central,156,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1300 0416,23,M,H,101,STREET,307,VEHICLE,IC,Invest Cont,230,,,,500 S  SAN PEDRO                    ST,,34.0437,-118.2455
230222441,12/11/23 0:00,12/11/23 0:00,430,2,Rampart,235,1,310,BURGLARY,0342 0344 1609 1822,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,2400 W  TEMPLE                       ST,,34.0715,-118.2719
231421658,12/11/23 0:00,12/11/23 0:00,1340,14,Pacific,1476,1,310,BURGLARY,344,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,6300 W  80TH                         PL,,33.9659,-118.3969
231820646,12/11/23 0:00,12/11/23 0:00,1130,18,Southeast,1826,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1822,0,,,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,9600    DEFIANCE                     AV,,33.9494,-118.2453
230618838,12/11/23 0:00,12/11/23 0:00,545,6,Hollywood,649,1,310,BURGLARY,0375 1822 1607 0329 0344,0,,,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,5100    HOLLYWOOD                    BL,,34.1018,-118.3006
231224703,12/11/23 0:00,12/11/23 0:00,1000,12,77th Street,1269,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 1810 0443 0431,0,,,501,SINGLE FAMILY DWELLING,512,MACE/PEPPER SPRAY,IC,Invest Cont,230,998,,,300 E  82ND                         ST,,33.9647,-118.2695
231321891,12/11/23 0:00,12/11/23 0:00,400,13,Newton,1367,1,121,"RAPE, FORCIBLE",0448 0500 0527 0913 1813,0,,,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,4400    LIMA                         ST,,34.0039,-118.2466
230415240,12/11/23 0:00,12/11/23 0:00,1110,4,Hollenbeck,426,2,354,THEFT OF IDENTITY,0100 0929,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,4900    NAVARRO                      ST,,34.0859,-118.1763
231116747,12/11/23 0:00,12/11/23 0:00,1330,11,Northeast,1144,2,624,BATTERY - SIMPLE ASSAULT,0903 2054 1536 0369 0319 0400,0,,,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,946,,,3000    ROWENA                       AV,,34.1087,-118.2695
231224702,12/11/23 0:00,12/11/23 0:00,900,12,77th Street,1218,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5500 S  FIGUEROA                     ST,,33.9923,-118.287
231224715,12/11/23 0:00,12/11/23 0:00,1220,12,77th Street,1255,2,901,VIOLATION OF RESTRAINING ORDER,2038,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,1100 W  74TH                         ST,,33.9727,-118.2941
230917318,12/11/23 0:00,12/11/23 0:00,100,9,Van Nuys,969,2,624,BATTERY - SIMPLE ASSAULT,400,22,M,W,301,GAS STATION,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,12900    MAGNOLIA                     BL,,34.1649,-118.4138
231917696,12/11/23 0:00,12/11/23 0:00,200,19,Mission,1972,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0416 1814,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,9000    BURNET                       AV,,34.2337,-118.4632
230618828,12/11/23 0:00,12/11/23 0:00,1400,6,Hollywood,647,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1500    VINE                         ST,,34.098,-118.3266
230126111,12/11/23 0:00,12/11/23 0:00,1330,1,Central,142,2,860,BATTERY WITH SEXUAL CONTACT,0448 0522,0,,,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,5TH                          ST,HILL                         ST,34.0488,-118.2518
231224680,12/11/23 0:00,12/11/23 0:00,100,12,77th Street,1269,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1407 1402,0,X,X,101,STREET,102,HAND GUN,IC,Invest Cont,753,998,,,84TH                         ST,MAIN                         ST,33.9638,-118.2629
231017041,12/11/23 0:00,12/11/23 0:00,1430,10,West Valley,1005,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1309 1300,0,,,101,STREET,307,VEHICLE,IC,Invest Cont,230,,,,WHITE OAK                    AV,ROSCOE                       BL,34.221,-118.5186
230415245,12/11/23 0:00,12/11/23 0:00,730,4,Hollenbeck,467,1,761,BRANDISH WEAPON,1309 0334 1300,0,,,101,STREET,113,SIMULATED GUN,IC,Invest Cont,761,,,,4TH                          ST,FICKETT                      ST,34.0389,-118.208
230126087,12/11/23 0:00,12/11/23 0:00,1140,1,Central,152,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0910 2004,0,X,X,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,745,,,,600 S  FIGUEROA                     ST,,34.0508,-118.2586
231917694,12/11/23 0:00,12/11/23 0:00,1550,19,Mission,1977,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,13700    RAYEN                        ST,,34.2369,-118.4316
231820658,12/11/23 0:00,12/11/23 0:00,940,18,Southeast,1823,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0344 0448 0416 0432 0913,0,,,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,9700 S  SAN PEDRO                    ST,,33.9483,-118.2695
231421621,12/11/23 0:00,12/11/23 0:00,930,14,Pacific,1413,2,901,VIOLATION OF RESTRAINING ORDER,,28,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901,,,,300    HAMPTON                      DR,,33.9965,-118.477
230222460,12/11/23 0:00,12/11/23 0:00,1615,2,Rampart,236,2,624,BATTERY - SIMPLE ASSAULT,1202 0913 0603 0361 0400,0,,,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,100 S  BONNIE BRAE                  ST,,34.0656,-118.2679
231224719,12/11/23 0:00,12/11/23 0:00,100,12,77th Street,1268,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1100 0329 1402 1407 1822,0,,,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,998,,,100 E  84TH                         ST,,33.9628,-118.2739
231917680,12/11/23 0:00,12/11/23 0:00,100,19,Mission,1998,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8000    CHERRYSTONE                  AV,,34.2164,-118.4372
231917683,12/11/23 0:00,12/11/23 0:00,158,19,Mission,1962,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,0,,,102,SIDEWALK,,,IC,Invest Cont,341,,,,PLUMMER,NOBLE,34.2427,-118.461
230321083,12/11/23 0:00,12/11/23 0:00,240,3,Southwest,311,1,220,ATTEMPTED ROBBERY,1822 0342 0417 0444 0416 0446 0202,37,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,5500 W  ADAMS                        BL,,34.0325,-118.3626
231600005,12/11/23 0:00,12/11/23 0:00,1130,16,Foothill,1612,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,13500    PAXTON                       ST,,34.2732,-118.4268
230917356,12/11/23 0:00,12/11/23 0:00,1310,9,Van Nuys,979,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 1822,0,,,101,STREET,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,930,,,,4600    FULTON                       AV,,34.154,-118.4225
231224709,12/11/23 0:00,12/11/23 0:00,800,12,77th Street,1273,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,0,,,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,9100 S  HOBART                       BL,,33.9545,-118.3079
231421654,12/11/23 0:00,12/11/23 0:00,1210,14,Pacific,1434,1,210,ROBBERY,321,0,,,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,3600    WASATCH                      AV,,34.0071,-118.4391
231224687,12/11/23 0:00,12/11/23 0:00,500,12,77th Street,1208,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,500 W  47TH                         ST,,34.0007,-118.2827
231321879,12/11/23 0:00,12/11/23 0:00,900,13,Newton,1395,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0913 1813 2000 0400,0,,,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,6600    AVALON                       BL,,33.9798,-118.2652
230415250,12/11/23 0:00,12/11/23 0:00,1320,4,Hollenbeck,469,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",325,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,3400 E  4TH                          ST,,34.034,-118.1969
231116731,12/11/23 0:00,12/11/23 0:00,1300,11,Northeast,1145,2,910,KIDNAPPING,0418 1309 0400 1305,25,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,910,,,,INDIA                        ST,RIVERSIDE                    TR,34.103,-118.2526
231116735,12/11/23 0:00,12/11/23 0:00,1315,11,Northeast,1113,1,350,"THEFT, PERSON",1402 0344 0352 1009 1202 1309,0,,,101,STREET,,,IC,Invest Cont,350,998,,,4500    ELLENWOOD                    DR,,34.1361,-118.2237
231224714,12/11/23 0:00,12/11/23 0:00,1330,12,77th Street,1283,2,901,VIOLATION OF RESTRAINING ORDER,2038 2004 0561,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,1900 W  96TH                         ST,,33.9491,-118.3118
231518793,12/11/23 0:00,12/11/23 0:00,244,15,N Hollywood,1525,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1609,0,X,X,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,740,,,,6100    LAUREL CANYON                BL,,34.1814,-118.3965
230718321,12/11/23 0:00,12/11/23 0:00,1105,7,Wilshire,724,1,210,ROBBERY,0945 0344 1822 1309 0325 0431,0,,,415,THE GROVE,512,MACE/PEPPER SPRAY,IC,Invest Cont,210,,,,100    THE GROVE                    DR,,34.0736,-118.3563
231017047,12/11/23 0:00,12/11/23 0:00,415,10,West Valley,1021,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,7000    AURA                         AV,,34.1975,-118.5546
231224678,12/11/23 0:00,12/11/23 0:00,500,12,77th Street,1263,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2000 W  MANCHESTER                   AV,,33.9636,-118.3112
230100909,12/11/23 0:00,12/11/23 0:00,30,1,Central,182,2,946,OTHER MISCELLANEOUS CRIME,1300 1309,0,X,X,101,STREET,,,IC,Invest Cont,946,,,,FLOWER,OLYMPIC,34.0444,-118.2628
230817923,12/11/23 0:00,12/11/23 0:00,645,8,West LA,898,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8900 W  25TH                         ST,,34.0385,-118.3854
231820666,12/11/23 0:00,12/11/23 0:00,1710,18,Southeast,1823,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0334 0302 0432 0443 0312 1300,0,,,501,SINGLE FAMILY DWELLING,102,HAND GUN,IC,Invest Cont,230,,,,9500 S  SAN PEDRO                    ST,,33.9502,-118.2695
232117547,12/11/23 0:00,12/11/23 0:00,745,21,Topanga,2198,1,440,THEFT PLAIN - PETTY ($950 & UNDER),394,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,4500    CEZANNE                      AV,,34.1484,-118.6033
230618825,12/11/23 0:00,12/11/23 0:00,920,6,Hollywood,645,2,624,BATTERY - SIMPLE ASSAULT,0913 0400 0416 1402,55,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,998,,,SUNSET,FORMOSA,34.1006,-118.3417
231224674,12/11/23 0:00,12/11/23 0:00,145,12,77th Street,1268,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SAN PEDRO,MANCHESTER,33.9601,-118.2695
231718989,12/11/23 0:00,12/11/23 0:00,200,17,Devonshire,1771,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,9300    OSO                          AV,,34.2392,-118.5754
230516750,12/11/23 0:00,12/11/23 0:00,925,5,Harbor,525,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,400 N  WILMINGTON                   BL,,33.7735,-118.2737
231017044,12/11/23 0:00,12/11/23 0:00,1430,10,West Valley,1005,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1309 1300,0,,,101,STREET,307,VEHICLE,IC,Invest Cont,230,,,,WHITE OAK                    AV,ROSCOE                       BL,34.221,-118.5186
231917670,12/11/23 0:00,12/11/23 0:00,30,19,Mission,1999,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1814 2000 0913,23,M,H,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,13600    CANTARA                      ST,,34.2198,-118.4288
231224706,12/11/23 0:00,12/11/23 0:00,1030,12,77th Street,1233,1,761,BRANDISH WEAPON,1402,0,,,101,STREET,215,MACHETE,IC,Invest Cont,761,,,,59TH,WESTERN,33.9867,-118.3089
232117543,12/11/23 0:00,12/11/23 0:00,1730,21,Topanga,2157,2,886,DISTURBING THE PEACE,443,0,,,203,OTHER BUSINESS,511,VERBAL THREAT,IC,Invest Cont,886,,,,21200    KITTRIDGE                    ST,,34.1913,-118.5942
231116734,12/11/23 0:00,12/11/23 0:00,630,11,Northeast,1172,1,330,BURGLARY FROM VEHICLE,0344 0321 1609 0358,58,M,H,721,HIGH SCHOOL,,,IC,Invest Cont,330,,,,2400    MAYBERRY                     ST,,34.0841,-118.2639
231224720,12/11/23 0:00,12/11/23 0:00,1555,12,77th Street,1241,1,761,BRANDISH WEAPON,1402 0334 0361 1309,0,,,108,PARKING LOT,207,OTHER KNIFE,IC,Invest Cont,761,998,,,6400    CRENSHAW                     BL,,33.9814,-118.3309
230222438,12/11/23 0:00,12/11/23 0:00,300,2,Rampart,245,1,310,BURGLARY,0913 0416 0400 0344 0448 0444 0314,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,2500    WILSHIRE                     BL,,34.0601,-118.2805
231421616,12/11/23 0:00,12/11/23 0:00,730,14,Pacific,1496,1,761,BRANDISH WEAPON,0334 0421,61,M,B,503,HOTEL,511,VERBAL THREAT,IC,Invest Cont,761,,,,9800    AIRPORT                      BL,,33.9472,-118.3909
230415251,12/11/23 0:00,12/11/23 0:00,1337,4,Hollenbeck,469,1,440,THEFT PLAIN - PETTY ($950 & UNDER),325,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,3400 E  4TH                          ST,,34.034,-118.1969
231820667,12/11/23 0:00,12/11/23 0:00,300,18,Southeast,1841,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1202 1822 0329,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,,800 W  112TH                        ST,,33.9334,-118.2892
231421656,12/11/23 0:00,12/11/23 0:00,550,14,Pacific,1424,1,320,"BURGLARY, ATTEMPTED",,0,,,710,OTHER PREMISE,,,IC,Invest Cont,320,,,,3400    KEESHEN                      DR,,34.0145,-118.4366
231917662,12/11/23 0:00,12/11/23 0:00,2330,19,Mission,1974,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 1813 0408,44,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,14700    RAYEN                        ST,,34.2337,-118.4536
231321868,12/11/23 0:00,12/11/23 0:00,400,13,Newton,1346,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1100 E  43RD                         ST,,34.0057,-118.2565
230415231,12/11/23 0:00,12/11/23 0:00,220,4,Hollenbeck,426,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0913 1202,64,F,W,504,OTHER RESIDENCE,511,VERBAL THREAT,IC,Invest Cont,930,,,,3200    CASTALIA                     AV,,34.082,-118.1754
232117534,12/11/23 0:00,12/11/23 0:00,30,21,Topanga,2157,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,21000    KITTRIDGE                    ST,,34.1911,-118.5906
231224716,12/11/23 0:00,12/11/23 0:00,1615,12,77th Street,1273,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8800 S  WILTON                       PL,,33.958,-118.315
232019028,12/11/23 0:00,12/11/23 0:00,55,20,Olympic,2029,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0342 0344 1309 0209 0315 0326 0378 0325,0,,,403,DRUG STORE,,,IC,Invest Cont,341,,,,300 S  VERMONT                      AV,,34.0691,-118.2916
230222442,12/11/23 0:00,12/11/23 0:00,430,2,Rampart,235,1,310,BURGLARY,0342 0344 1609 1822,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,2400 W  TEMPLE                       ST,,34.0715,-118.2719
230126109,12/11/23 0:00,12/11/23 0:00,1255,1,Central,176,2,624,BATTERY - SIMPLE ASSAULT,0446 0416,0,,,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800    SANTEE                       ST,,34.0401,-118.2533
230415241,12/11/23 0:00,12/11/23 0:00,1515,4,Hollenbeck,467,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1822 0400 0443,0,,,203,OTHER BUSINESS,511,VERBAL THREAT,IC,Invest Cont,930,,,,2700 E  1ST                          ST,,34.0421,-118.206
231321903,12/11/23 0:00,12/11/23 0:00,1304,13,Newton,1361,2,624,BATTERY - SIMPLE ASSAULT,0400 0448 0603 0913,0,,,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,100 W  45TH                         ST,,34.0029,-118.274
230321095,12/11/23 0:00,12/11/23 0:00,30,3,Southwest,318,2,890,FAILURE TO YIELD,1501 1309,0,,,101,STREET,,,IC,Invest Cont,890,,,,VERMONT                      AV,ADAMS                        BL,34.0328,-118.2916
231614847,12/11/23 0:00,12/11/23 0:00,45,16,Foothill,1612,1,210,ROBBERY,0344 0337 0302,18,M,H,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,13500    PAXTON                       ST,,34.2732,-118.4268
231116718,12/11/23 0:00,12/11/23 0:00,100,11,Northeast,1134,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,29,M,W,101,STREET,,,IC,Invest Cont,740,,,,3100    EAGLE ROCK                   BL,,34.1078,-118.2379
231017030,12/11/23 0:00,12/11/23 0:00,100,10,West Valley,1045,1,761,BRANDISH WEAPON,1810 1402 0913 1309 0421 0334,52,M,W,501,SINGLE FAMILY DWELLING,112,TOY GUN,IC,Invest Cont,761,998,,,17900    EMELITA                      ST,,34.1776,-118.523
231321881,12/11/23 0:00,12/11/23 0:00,900,13,Newton,1395,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0913,0,,,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,627,,,,6600    AVALON                       BL,,33.9798,-118.2652
231718968,12/11/23 0:00,12/11/23 0:00,1330,17,Devonshire,1756,2,354,THEFT OF IDENTITY,1822 1402,0,,,602,BANK,,,IC,Invest Cont,354,998,,,10200    BALBOA                       BL,,34.254,-118.5128
231017045,12/11/23 0:00,12/11/23 0:00,1530,10,West Valley,1079,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0325,0,,,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,442,,,,15900    VENTURA                      BL,,34.1599,-118.4766
232117544,12/11/23 0:00,12/11/23 0:00,1430,21,Topanga,2145,2,888,TRESPASSING,1501,0,,,723,PRIVATE SCHOOL/PRESCHOOL,,,IC,Invest Cont,888,,,,22100    VANOWEN                      ST,,34.1937,-118.6081
230917359,12/11/23 0:00,12/11/23 0:00,1310,9,Van Nuys,979,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,4600    FULTON                       AV,,34.154,-118.4225
232117546,12/11/23 0:00,12/11/23 0:00,1145,21,Topanga,2104,2,664,"BUNCO, PETTY THEFT",0344 0701,0,,,101,STREET,,,IC,Invest Cont,664,,,,8700    OWENSMOUTH                   AV,,34.2282,-118.6016
230917357,12/11/23 0:00,12/11/23 0:00,1310,9,Van Nuys,979,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 1822,0,,,101,STREET,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,930,,,,4600    FULTON                       AV,,34.154,-118.4225
230126062,12/11/23 0:00,12/11/23 0:00,525,1,Central,119,2,888,TRESPASSING,0910 1501 2004,52,M,B,135,MTA PROPERTY OR PARKING LOT,,,IC,Invest Cont,888,,,,00    GATEWAY PLZ,,34.0547,-118.2335
230415230,12/11/23 0:00,12/11/23 0:00,230,4,Hollenbeck,467,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 1822 1218,26,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,4TH                          ST,S  MATHEWS                      ST,34.0401,-118.2107
231224707,12/11/23 0:00,12/11/23 0:00,1030,12,77th Street,1233,1,761,BRANDISH WEAPON,0334 1309 0421 1822 0371 0443,0,,,101,STREET,215,MACHETE,IC,Invest Cont,761,,,,59TH,WESTERN,33.9867,-118.3089
231224722,12/11/23 0:00,12/11/23 0:00,1015,12,77th Street,1204,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0334 0400 0416 1817,0,,,501,SINGLE FAMILY DWELLING,207,OTHER KNIFE,IC,Invest Cont,230,,,,1100 W  45TH                         ST,,34.0027,-118.2938
230126097,12/11/23 0:00,12/11/23 0:00,1350,1,Central,138,2,624,BATTERY - SIMPLE ASSAULT,0416 0447 1309 1822,0,,,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 S  ALAMEDA                      ST,,34.0468,-118.2415
231820665,12/11/23 0:00,12/11/23 0:00,100,18,Southeast,1821,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0344 1606,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,,800 W  97TH                         ST,,33.9478,-118.2893
