crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
230614668,2023-09-01,2023-08-30,400,6,Hollywood,510,VEHICLE - STOLEN,0,X,X,LA BREA,34.0944,-118.3441
231113042,2023-09-04,2023-09-04,1230,11,Northeast,888,TRESPASSING,50,F,H,200 S  AVENUE 50,34.1036,-118.2011
231013347,2023-09-05,2023-09-05,146,10,West Valley,510,VEHICLE - STOLEN,0,X,X,ROSCOE,34.2211,-118.5148
231113120,2023-09-06,2023-08-26,1130,11,Northeast,510,VEHICLE - STOLEN,0,X,X,1100    MYRA                         AV,34.0957,-118.2806
231219046,2023-09-06,2023-09-02,1800,12,77th Street,121,"RAPE, FORCIBLE",17,F,H,FIGUEROA                     ST,33.9688,-118.2827
230401367,2023-09-08,2023-09-08,800,4,Hollenbeck,763,STALKING,34,M,H,5100    MARTIN                       ST,34.0806,-118.1702
231514660,2023-09-10,2023-09-09,1700,15,N Hollywood,761,BRANDISH WEAPON,56,F,H,12500    VANOWEN                      ST,34.1940,-118.4053
230615232,2023-09-14,2023-09-14,110,6,Hollywood,623,BATTERY POLICE (SIMPLE),0,X,X,HIGHLAND,34.1016,-118.3387
230412468,2023-09-15,2023-09-15,1520,4,Hollenbeck,624,BATTERY - SIMPLE ASSAULT,42,F,H,8TH,34.0279,-118.2190
231317406,2023-09-16,2023-09-16,1630,13,Newton,510,VEHICLE - STOLEN,0,X,X,22ND,34.0288,-118.2675
231417321,2023-09-16,2023-09-16,1330,14,Pacific,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,27,M,B,LINCOLN,33.9791,-118.4372
231113635,2023-09-19,2023-08-21,1000,11,Northeast,354,THEFT OF IDENTITY,29,F,H,5200 N  FIGUEROA                     ST,34.1063,-118.1995
230615502,2023-09-19,2023-09-16,2100,6,Hollywood,210,ROBBERY,33,M,H,HOLLYWOOD,34.1015,-118.3387
232015683,2023-09-21,2023-09-21,550,20,Olympic,510,VEHICLE - STOLEN,0,X,X,PICO,34.0472,-118.3116
230317038,2023-09-21,2023-06-22,200,3,Southwest,510,VEHICLE - STOLEN,0,X,X,MARTIN LUTHER KING JR,34.0109,-118.3002
230412692,2023-09-22,2023-09-22,1030,4,Hollenbeck,510,VEHICLE - STOLEN,0,X,X,WHITTIER,34.0303,-118.2065
231113813,2023-09-25,2023-09-24,400,11,Northeast,330,BURGLARY FROM VEHICLE,57,M,H,300 S  AVE 56,34.1052,-118.1934
230120565,2023-09-25,2023-09-24,2326,1,Central,310,BURGLARY,0,X,X,200 E  16TH                         ST,34.0330,-118.2615
231114307,2023-10-03,2023-10-03,1050,11,Northeast,354,THEFT OF IDENTITY,38,F,H,200 S  AVENUE 50,34.1036,-118.2011
230218599,2023-10-04,2023-10-04,1325,2,Rampart,624,BATTERY - SIMPLE ASSAULT,50,M,H,6TH,34.0579,-118.2711
231817436,2023-10-05,2023-10-05,1030,18,Southeast,210,ROBBERY,49,M,H,108TH,33.9383,-118.2781
230413114,2023-10-05,2023-10-03,1220,4,Hollenbeck,330,BURGLARY FROM VEHICLE,25,M,F,100 N  AVENUE 21,34.0749,-118.2201
230218840,2023-10-07,2023-10-07,2220,2,Rampart,210,ROBBERY,31,M,H,BEACON                       AV,34.0521,-118.2738
230914961,2023-10-09,2023-05-01,30,9,Van Nuys,805,PIMPING,22,F,H,SEPULVEDA,34.2030,-118.4662
230616331,2023-10-10,2023-10-10,900,6,Hollywood,625,OTHER ASSAULT,35,M,B,HOLLYWOOD,34.1016,-118.3387
231817908,2023-10-14,2023-10-14,600,18,Southeast,888,TRESPASSING,0,X,X,115TH,33.9367,-118.2871
230413375,2023-10-14,2023-10-12,830,4,Hollenbeck,510,VEHICLE - STOLEN,0,X,X,2000    BARRANCA                     ST,34.0765,-118.2220
231114614,2023-10-17,2023-10-16,600,11,Northeast,510,VEHICLE - STOLEN,0,X,X,200 N  AVENUE 55,34.1094,-118.1963
231915458,2023-10-18,2023-10-17,1700,19,Mission,330,BURGLARY FROM VEHICLE,34,M,H,RAYEN,34.2318,-118.4575
231319594,2023-10-19,2023-10-19,200,13,Newton,352,PICKPOCKET,56,F,K,1600    WALL                         ST,34.0313,-118.2584
231319647,2023-10-22,2023-10-21,2245,13,Newton,330,BURGLARY FROM VEHICLE,28,M,H,S  HILL                         ST,34.0299,-118.2681
231319324,2023-10-22,2023-10-22,300,13,Newton,510,VEHICLE - STOLEN,0,X,X,42ND,34.0065,-118.2784
230616829,2023-10-22,2023-10-22,30,6,Hollywood,210,ROBBERY,22,M,W,SELMA                        AV,34.0998,-118.3338
232116383,2023-11-13,2023-11-12,2000,21,Topanga,330,BURGLARY FROM VEHICLE,38,F,W,OWENSMOUTH,34.1793,-118.6015
230915636,2023-10-24,2023-10-24,815,9,Van Nuys,624,BATTERY - SIMPLE ASSAULT,0,F,X,SHERMAN,34.2012,-118.4312
231222019,2023-10-26,2023-10-26,1510,12,77th Street,624,BATTERY - SIMPLE ASSAULT,40,F,H,GAGE,33.9824,-118.2827
230219865,2023-10-28,2023-10-28,1200,2,Rampart,310,BURGLARY,66,F,H,400    UNION                        DR,34.0573,-118.2686
231320046,2023-11-03,2023-11-03,1109,13,Newton,890,FAILURE TO YIELD,0,M,W,BROADWAY,33.9782,-118.2783
230414037,2023-11-03,2023-11-03,300,4,Hollenbeck,320,"BURGLARY, ATTEMPTED",0,X,X,2000 N  BROADWAY,34.0766,-118.2228
230319335,2023-11-06,2023-11-05,800,3,Southwest,520,VEHICLE - ATTEMPT STOLEN,52,M,H,40TH                         PL,34.0102,-118.2941
232116360,2023-11-11,2023-11-11,1415,21,Topanga,624,BATTERY - SIMPLE ASSAULT,18,F,W,VICTORY,34.1877,-118.6015
230123831,2023-11-11,2023-11-10,800,1,Central,330,BURGLARY FROM VEHICLE,35,M,C,300 W  12TH                         ST,34.0394,-118.2623
230220865,2023-11-12,2023-11-12,1550,2,Rampart,520,VEHICLE - ATTEMPT STOLEN,25,M,H,LUCAS,34.0557,-118.2632
230319736,2023-11-13,2023-11-13,1920,3,Southwest,210,ROBBERY,28,F,J,1000    EXPOSITION                   BL,34.0184,-118.2952
230617799,2023-11-14,2023-11-13,1900,6,Hollywood,330,BURGLARY FROM VEHICLE,36,M,W,YUCCA,34.1032,-118.3374
230618064,2023-11-14,2023-09-15,2130,6,Hollywood,352,PICKPOCKET,22,M,H,HOLLYWOOD,34.1015,-118.3387
230221177,2023-11-18,2023-11-18,340,2,Rampart,624,BATTERY - SIMPLE ASSAULT,30,M,H,1200    WILSHIRE                     BL,34.0530,-118.2649
232018374,2023-11-21,2023-11-17,2230,20,Olympic,330,BURGLARY FROM VEHICLE,35,M,X,W  WASHINGTON,34.0399,-118.3177
231016443,2023-11-28,2023-11-27,2330,10,West Valley,510,VEHICLE - STOLEN,0,X,X,MAGNOLIA,34.1654,-118.5203
230125008,2023-11-28,2023-11-27,2300,1,Central,510,VEHICLE - STOLEN,0,X,X,200 W  14TH                         ST,34.0361,-118.2634
231116314,2023-11-29,2023-11-29,200,11,Northeast,330,BURGLARY FROM VEHICLE,27,F,B,SUNSET,34.0982,-118.2819
231224033,2023-11-30,2023-11-29,2000,12,77th Street,510,VEHICLE - STOLEN,0,X,X,FIGUEROA                     ST,33.9688,-118.2827
230618458,2023-11-30,2023-11-25,115,6,Hollywood,352,PICKPOCKET,23,F,O,1500    WILCOX                       AV,34.0980,-118.3310
230221864,2023-12-01,2023-11-29,1850,2,Rampart,330,BURGLARY FROM VEHICLE,38,M,K,LUCAS,34.0523,-118.2653
230320752,2023-12-04,2023-12-03,2030,3,Southwest,510,VEHICLE - STOLEN,0,X,X,41ST,34.0096,-118.2827
230222107,2023-12-04,2023-12-04,1545,2,Rampart,210,ROBBERY,43,F,B,SANTA MONICA,34.0909,-118.2917
231321667,2023-12-06,2023-11-26,1600,13,Newton,210,ROBBERY,60,F,H,BROADWAY,34.0038,-118.2784
230222285,2023-12-06,2023-12-06,1250,2,Rampart,888,TRESPASSING,22,X,X,600 S  ALVARADO                     ST,34.0595,-118.2749
231224592,2023-12-09,2023-12-09,1520,12,77th Street,210,ROBBERY,54,M,B,FLORENCE,33.9747,-118.2827
231016988,2023-12-10,2023-12-10,440,10,West Valley,310,BURGLARY,0,M,O,5400    RESEDA                       BL,34.1688,-118.5361
231112967,2023-09-03,2023-09-01,1200,11,Northeast,624,BATTERY - SIMPLE ASSAULT,15,F,H,100 N  AVE 53,34.1069,-118.1982
231316675,2023-09-03,2023-09-03,100,13,Newton,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62,M,B,71ST                         ST,33.9756,-118.2739
231112990,2023-09-03,2023-09-01,5,11,Northeast,354,THEFT OF IDENTITY,32,F,H,4000    SUNSET                       DR,34.0982,-118.2787
231225037,2023-12-16,2023-12-16,1620,12,77th Street,210,ROBBERY,30,M,H,SLAUSON,33.9892,-118.3089
231218836,2023-09-03,2023-09-02,1000,12,77th Street,354,THEFT OF IDENTITY,30,F,B,1500 W  60TH                         ST,33.9859,-118.3024
231218751,2023-09-01,2023-09-01,2320,12,77th Street,626,INTIMATE PARTNER - SIMPLE ASSAULT,32,F,H,8000 S  BROADWAY,33.9661,-118.2849
232113607,2023-09-01,2023-09-01,2010,21,Topanga,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0,M,W,6500    CANOGA                       AV,34.1884,-118.5975
232015289,2023-09-01,2023-07-21,405,20,Olympic,354,THEFT OF IDENTITY,24,F,B,1500 S  ST ANDREWS                   PL,34.0453,-118.3116
231218748,2023-09-01,2023-09-01,830,12,77th Street,624,BATTERY - SIMPLE ASSAULT,22,M,B,5500 S  WESTERN                      AV,33.9923,-118.3089
232113604,2023-09-01,2023-04-25,2100,21,Topanga,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,W,6600    TOPANGA CANYON               BL,34.1904,-118.6059
231913619,2023-09-01,2023-08-31,1550,19,Mission,664,"BUNCO, PETTY THEFT",54,M,B,15600    PARTHENIA                    ST,34.2283,-118.4720
230913648,2023-09-01,2023-08-31,2100,9,Van Nuys,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),54,M,H,14400    SHERMAN                      WY,34.2060,-118.4445
232015336,2023-09-01,2023-08-30,1140,20,Olympic,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",66,F,W,1700 S  OXFORD                       AV,34.0423,-118.3077
231815793,2023-09-01,2023-08-31,1200,18,Southeast,330,BURGLARY FROM VEHICLE,33,F,B,14200 S  VERMONT                      AV,33.9032,-118.2916
231112909,2023-09-01,2023-08-31,800,11,Northeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,32,F,H,5200    MONTE VISTA                  ST,34.1109,-118.2016
231218718,2023-09-01,2023-09-01,1450,12,77th Street,210,ROBBERY,65,M,H,900 W  77TH                         ST,33.9698,-118.2897
230913632,2023-09-01,2023-08-30,1600,9,Van Nuys,310,BURGLARY,45,M,H,7200 N  SEPULVEDA                    BL,34.2085,-118.4698
231013179,2023-09-01,2023-09-01,145,10,West Valley,310,BURGLARY,0,M,W,18000    VENTURA                      BL,34.1675,-118.5226
231913645,2023-09-01,2023-09-01,115,19,Mission,354,THEFT OF IDENTITY,25,F,H,8400    BURNET                       AV,34.2231,-118.4633
231316613,2023-09-01,2023-08-06,1230,13,Newton,354,THEFT OF IDENTITY,38,M,B,2700 S  GRAND                        AV,34.0254,-118.2729
231316530,2023-09-01,2023-09-01,1,13,Newton,510,VEHICLE - STOLEN,0,X,X,500 E  21ST                         ST,34.0270,-118.2612
231218746,2023-09-01,2023-09-01,830,12,77th Street,624,BATTERY - SIMPLE ASSAULT,56,F,B,5500 S  WESTERN                      AV,33.9923,-118.3089
231913649,2023-09-01,2023-08-30,2008,19,Mission,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,9000 N  SEPULVEDA                    BL,34.2337,-118.4675
231316567,2023-09-01,2023-09-01,1200,13,Newton,901,VIOLATION OF RESTRAINING ORDER,27,M,W,200 W  25TH                         ST,34.0268,-118.2702
231218689,2023-09-01,2023-08-31,1800,12,77th Street,510,VEHICLE - STOLEN,0,X,X,7000    BONSALLO                     AV,33.9761,-118.2860
232015353,2023-09-01,2023-08-31,2300,20,Olympic,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),54,F,K,1800 S  VAN NESS                     AV,34.0411,-118.3164
231815826,2023-09-01,2023-09-01,618,18,Southeast,354,THEFT OF IDENTITY,30,F,B,500 W  109TH                        ST,33.9374,-118.2826
231218740,2023-09-01,2023-09-01,1630,12,77th Street,210,ROBBERY,55,F,H,47TH                         ST,34.0010,-118.3089
232014889,2023-09-01,2023-09-01,300,20,Olympic,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,42,F,H,1700 S  WESTERN                      AV,34.0424,-118.3090
231013231,2023-09-01,2023-08-18,550,10,West Valley,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,W,17300    VENTURA                      BL,34.1660,-118.5095
231013201,2023-09-01,2023-09-01,1400,10,West Valley,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),29,F,B,5400    WHITE OAK                    AV,34.1693,-118.5184
231218752,2023-09-01,2023-09-01,1200,12,77th Street,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,M,A,5100 S  MANHATTAN                    PL,33.9964,-118.3101
232014940,2023-09-01,2023-09-01,1245,20,Olympic,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",32,F,A,900 S  ST ANDREWS                   PL,34.0501,-118.3111
231218690,2023-09-01,2023-09-01,530,12,77th Street,210,ROBBERY,29,M,H,65TH                         ST,33.9806,-118.2827
231220702,2023-09-01,2023-09-01,1600,12,77th Street,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,35,F,B,7000 S  FIGUEROA                     ST,33.9763,-118.2827
231913646,2023-09-01,2023-09-01,600,19,Mission,354,THEFT OF IDENTITY,37,F,H,8700    LANGDON                      AV,34.2283,-118.4699
230413611,2023-10-21,2023-10-21,2130,4,Hollenbeck,210,ROBBERY,0,X,X,3400    SPENCE,34.0285,-118.2031
232113724,2023-09-01,2023-09-01,1800,21,Topanga,763,STALKING,71,F,O,20500    MOBERLY                      PL,34.1917,-118.5809
231815798,2023-09-01,2023-09-01,600,18,Southeast,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,34,F,B,700 W  115TH                        ST,33.9297,-118.2870
231112924,2023-09-01,2023-08-31,1015,11,Northeast,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,2000 N  FIGUEROA                     ST,34.0884,-118.2258
231013197,2023-09-01,2023-08-31,1930,10,West Valley,330,BURGLARY FROM VEHICLE,29,M,B,17200    VENTURA                      BL,34.1605,-118.5076
231913653,2023-09-01,2023-07-18,1930,19,Mission,626,INTIMATE PARTNER - SIMPLE ASSAULT,18,F,H,8700    LANGDON                      AV,34.2283,-118.4699
231218868,2023-09-01,2023-09-01,606,12,77th Street,354,THEFT OF IDENTITY,25,F,H,1500 W  46TH                         ST,34.0019,-118.3036
231013181,2023-09-01,2023-09-01,145,10,West Valley,310,BURGLARY,0,M,W,18000    VENTURA                      BL,34.1675,-118.5226
230913660,2023-09-01,2023-08-29,237,9,Van Nuys,310,BURGLARY,53,F,W,7000    VAN NUYS                     BL,34.1976,-118.4443
