LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,LOCATION
0000275170-0002-2,GARCO ENTERPRISES INC,MCDONALD'S #7072,10611 W PICO BLVD,LOS ANGELES,90064-2213,10611 PICO 90064-2213,"(34.0433, -118.4222)"
0000289721-0001-5,HOMAK ENTERPRISES INC,MCDONALD'S #2203,15700 VENTURA BLVD,ENCINO,91436-2904,15700 VENTURA 91436-2904,"(34.1551, -118.4749)"
0000289721-0003-1,HOMAK ENTERPRISES INC,MCDONALD'S # 17114,23340 AVENUE SAN LUIS,WOODLAND HILLS,91364-1099,23340 AVENUE SAN LUIS 91364-1099,"(34.16, -118.6348)"
0000551373-0001-9,ONEMOR INC,MCDONALD'S,1625 WILSHIRE BLVD,LOS ANGELES,90017-1610,1625 WILSHIRE 90017-1610,"(34.0557, -118.2709)"
0000576494-0001-8,HOMAK ENTERPRISES INC,MCDONALD'S #27077 | MCDONALDS # 27077,18909 VENTURA BLVD,TARZANA,91356-3211,18909 VENTURA 91356-3211,"(34.1723, -118.5449)"
0000584039-0001-8,AL-MATT INC,MCDONALD'S RESTAURANT,505 W FLORENCE AVENUE,LOS ANGELES,90044-6101,505 FLORENCE 90044-6101,"(33.9746, -118.2829)"
0000646017-0001-6,SANCHEZ FAMILY CORPORATION,MCDONALD'S #6688,201 W WASHINGTON BLVD,LOS ANGELES,90015-3514,201 WASHINGTON 90015-3514,"(34.032, -118.2667)"
0000649093-0001-9,"MCDONALD'S RESTAURANTS OF CALIFORNIA, INC.",MCDONALD'S 5547 | MCDONALDS #5547,1452 W CARSON STREET,TORRANCE,90501-3920,1452 CARSON 90501-3920,"(33.8315, -118.3028)"
0000649093-0030-2,"MCDONALD'S RESTAURANTS OF CALIFORNIA, INC.",MCDONALD'S 27113,1845 S LA CIENEGA BLVD,LOS ANGELES,90035-4603,1845 LA CIENEGA 90035-4603,"(34.0433, -118.3765)"
0000951177-0002-1,TAMBIEN INC,MCDONALD'S,850 W ROSECRANS AVENUE,GARDENA,90247-2757,850 Rosecrans 90247-2757,"(33.9015, -118.2911)"
0000957670-0001-5,P R PERNECKY MANAGEMENT CORP,MCDONALD'S,4947 HUNTINGTON DRIVE N,LOS ANGELES,90032-1643,4947 HUNTINGTON 90032-1643,"(34.0875, -118.1752)"
0000957670-0002-3,P R PERNECKY MANAGEMENT CORP,MCDONALD'S,5008 N FIGUEROA STREET,LOS ANGELES,90042-3920,5008 FIGUEROA 90042-3920,"(34.105, -118.202)"
0002041707-0001-0,ATKA ENTERPRISES INC,MCDONALD'S RESTAURANT,19503 NORMANDIE AVENUE,TORRANCE,90501-1361,19503 NORMANDIE 90501-1361,"(33.8542, -118.2992)"
0002091597-0001-8,SOUTH BAY CORP,MCDONALD'S RESTAURANT,6345 WILSHIRE BLVD,LOS ANGELES,90048-5001,6345 WILSHIRE 90048-5001,"(34.0635, -118.3666)"
0002298756-0001-7,HOMAK ENTERPRISES INC,MCDONALD'S RESTAURANT # 1711 | MCDONALDS # 1711,17641 VENTURA BLVD,ENCINO,91316-3842,17641 VENTURA 91316-3842,"(34.1622, -118.5177)"
0002373073-0001-0,MASSIE PARTNERS INC,MCDONALD'S # 8014,6776 HOLLYWOOD BLVD SPACE #8014,LOS ANGELES,90028-4622,6776 HOLLYWOOD 90028-4622,"(34.1015, -118.3382)"
0002518494-0001-3,2MANGAS INCORPORATED,CRENSHAW MCDONALD'S #10070,4292 CRENSHAW BLVD,LOS ANGELES,90008-2535,4292 CRENSHAW 90008-2535,"(34.0055, -118.3339)"
0002518494-0002-1,2MANGAS INCORPORATED,MCDONALD'S,2457 LINCOLN BLVD,VENICE,90291-5040,2457 Lincoln 90291-5040,"(33.9929, -118.4511)"
0002616152-0001-6,BLADE ENTERPRISE III INC,MCDONALD'S #17115,4680 LINCOLN BLVD,MARINA DEL REY,90292-6306,4680 LINCOLN 90292-6306,"(33.9812, -118.4397)"
0002688579-0001-7,STANLEY MCDONALD,MCDONALD'S PLUMBING,1826 W 45TH STREET,LOS ANGELES,90062-1953,1826 45TH 90062-1953,"(34.0027, -118.3119)"
0002772229-0001-0,GBAL INC,MCDONALD'S 10805,501 W IMPERIAL HIGHWAY,LOS ANGELES,90044-4222,501 IMPERIAL 90044-4222,"(33.931, -118.2826)"
0002928142-0002-8,TECKNOLOGY MMBC,MCDONALD'S 36268,17700   ROSCOE BLVD,NORTHRIDGE,91325-3910,17700 ROSCOE 91325-3910,"(34.2205, -118.5192)"
0003018153-0001-7,HAFA MANAGEMENT CORP,MCDONALD'S # 12970,12616   SHERMAN WAY,NORTH HOLLYWOOD,91605-5239,12616 SHERMAN 91605-5239,"(34.2009, -118.4081)"
0003018153-0002-5,HAFA MANAGEMENT CORP,MCDONALD'S # 27753,7161   SEPULVEDA BLVD,VAN NUYS,91405-2930,7161 SEPULVEDA 91405-2930,"(34.2008, -118.4666)"
0003018153-0003-3,HAFA MANAGEMENT CORP,MCDONALD'S # 28364,8656   SEPULVEDA BLVD,NORTH HILLS,91343-5827,8656 SEPULVEDA 91343-5827,"(34.228, -118.467)"
0003018153-0004-1,HAFA MANAGEMENT CORP,MCDONALD'S # 605,7045   VAN NUYS BLVD,VAN NUYS,91405-3003,7045 VAN NUYS 91405-3003,"(34.1989, -118.4492)"
0003018153-0005-0,HAFA MANAGEMENT CORP,MCDONALD'S # 23822,13700   SHERMAN WAY,VAN NUYS,91405-2626,13700 SHERMAN 91405-2626,"(34.2008, -118.4316)"
0003018153-0006-8,HAFA MANAGEMENT CORP,MCDONALD'S,6750   DE SOTO AVENUE,CANOGA PARK,91303-3036,6750 DE SOTO 91303-3036,"(34.1934, -118.588)"
0003018153-0007-6,HAFA MANAGEMENT CORP,MCDONALD'S,9185   DE SOTO AVENUE,CHATSWORTH,91311-4906,9185 DE SOTO 91311-4906,"(34.2379, -118.589)"
