crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
232014896,2023-09-01,2023-09-01,2130,20,Olympic,210,ROBBERY,49,M,W,VERMONT,34.0598,-118.2865
230614668,2023-09-01,2023-08-30,400,6,Hollywood,510,VEHICLE - STOLEN,0,X,X,LA BREA,34.0944,-118.3441
232014928,2023-09-02,2023-08-31,1400,20,Olympic,510,VEHICLE - STOLEN,0,X,X,VERMONT,34.0691,-118.2917
232016567,2023-09-03,2023-09-03,130,20,Olympic,352,PICKPOCKET,35,F,A,ARDMORE,34.0617,-118.3020
230119130,2023-09-03,2023-09-03,640,1,Central,761,BRANDISH WEAPON,60,F,B,3RD,34.0545,-118.2534
230119275,2023-09-05,2023-09-03,1900,1,Central,310,BURGLARY,25,F,W,600 S  BROADWAY,34.0466,-118.2520
231113120,2023-09-06,2023-08-26,1130,11,Northeast,510,VEHICLE - STOLEN,0,X,X,1100    MYRA                         AV,34.0957,-118.2806
230119430,2023-09-07,2023-09-07,2030,1,Central,624,BATTERY - SIMPLE ASSAULT,37,M,B,7TH,34.0494,-118.2599
230119473,2023-09-08,2023-09-08,1640,1,Central,210,ROBBERY,34,M,B,7TH,34.0420,-118.2485
231914018,2023-09-11,2023-09-11,630,19,Mission,510,VEHICLE - STOLEN,0,X,X,WILLIS,34.2355,-118.4553
230600947,2023-09-11,2023-09-11,1550,6,Hollywood,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,69,M,B,HOLLYWOOD,34.1017,-118.3180
230316501,2023-09-12,2023-09-11,1615,3,Southwest,890,FAILURE TO YIELD,22,X,X,OBAMA,34.0215,-118.3442
231715071,2023-09-13,2023-09-13,900,17,Devonshire,210,ROBBERY,22,M,B,DEVONSHIRE                   ST,34.2573,-118.5886
230615232,2023-09-14,2023-09-14,110,6,Hollywood,623,BATTERY POLICE (SIMPLE),0,X,X,HIGHLAND,34.1016,-118.3387
230119974,2023-09-16,2023-09-16,1440,1,Central,510,VEHICLE - STOLEN,0,X,X,8TH,34.0413,-118.2517
230615332,2023-09-16,2023-09-16,602,6,Hollywood,310,BURGLARY,0,X,X,5100 W  SUNSET                       BL,34.0981,-118.3005
230615469,2023-09-17,2023-09-17,1800,6,Hollywood,210,ROBBERY,0,X,X,5500 W  SUNSET                       BL,34.1000,-118.3113
230615502,2023-09-19,2023-09-16,2100,6,Hollywood,210,ROBBERY,33,M,H,HOLLYWOOD,34.1015,-118.3387
230615645,2023-09-23,2023-09-23,1345,6,Hollywood,310,BURGLARY,25,F,W,GORDON,34.0980,-118.3197
230120555,2023-09-25,2023-09-24,900,1,Central,210,ROBBERY,33,M,B,5TH,34.0471,-118.2491
230120579,2023-09-25,2023-09-25,1,1,Central,330,BURGLARY FROM VEHICLE,35,M,O,9TH,34.0430,-118.2571
231515475,2023-09-29,2023-09-27,1,15,N Hollywood,330,BURGLARY FROM VEHICLE,25,M,W,5500    BONNER                       AV,34.1700,-118.3741
230121094,2023-10-03,2023-09-27,316,1,Central,354,THEFT OF IDENTITY,39,M,P,800 S  BROADWAY,34.0437,-118.2547
232016348,2023-10-09,2023-10-09,1415,20,Olympic,888,TRESPASSING,0,X,X,WILSHIRE,34.0618,-118.2917
230121415,2023-10-09,2023-10-09,22,1,Central,890,FAILURE TO YIELD,0,X,X,9TH,34.0483,-118.2631
230121538,2023-10-09,2023-10-09,1800,1,Central,330,BURGLARY FROM VEHICLE,55,M,B,4TH,34.0505,-118.2509
230121565,2023-10-10,2023-10-08,2300,1,Central,850,INDECENT EXPOSURE,44,M,A,300 S  BROADWAY,34.0510,-118.2480
230616331,2023-10-10,2023-10-10,900,6,Hollywood,625,OTHER ASSAULT,35,M,B,HOLLYWOOD,34.1016,-118.3387
232016446,2023-10-11,2023-10-11,1655,20,Olympic,626,INTIMATE PARTNER - SIMPLE ASSAULT,50,F,B,ARDMORE,34.0617,-118.3016
231915180,2023-10-11,2023-10-08,1830,19,Mission,510,VEHICLE - STOLEN,0,X,X,COLUMBUS                     AV,34.2428,-118.4653
231915252,2023-10-12,2023-10-12,1800,19,Mission,624,BATTERY - SIMPLE ASSAULT,27,M,H,PLUMMER,34.2427,-118.4502
230815524,2023-10-13,2023-10-13,1600,8,West LA,210,ROBBERY,17,M,W,EXPOSITION,34.0315,-118.4526
230616552,2023-10-15,2023-10-15,1840,6,Hollywood,350,"THEFT, PERSON",28,F,H,LA BREA,34.0871,-118.3441
231915458,2023-10-18,2023-10-17,1700,19,Mission,330,BURGLARY FROM VEHICLE,34,M,H,RAYEN,34.2318,-118.4575
230122187,2023-10-18,2023-10-16,2100,1,Central,310,BURGLARY,0,X,X,1100 S  MAIN                         ST,34.0391,-118.2582
230616829,2023-10-22,2023-10-22,30,6,Hollywood,210,ROBBERY,22,M,W,SELMA                        AV,34.0998,-118.3338
232115583,2023-10-23,2023-10-21,1400,21,Topanga,210,ROBBERY,32,M,H,WINNETKA,34.1992,-118.5710
230122589,2023-10-24,2023-10-24,100,1,Central,121,"RAPE, FORCIBLE",55,F,B,11TH,34.0396,-118.2590
230616955,2023-10-25,2023-10-21,2230,6,Hollywood,352,PICKPOCKET,24,M,H,HOLLYWOOD,34.1016,-118.3267
232017873,2023-11-13,2023-11-11,2300,20,Olympic,210,ROBBERY,34,M,H,8TH                          ST,34.0577,-118.2941
230122889,2023-10-29,2023-10-29,305,1,Central,210,ROBBERY,66,F,W,7TH                          ST,34.0452,-118.2533
232017394,2023-11-02,2023-11-01,2325,20,Olympic,510,VEHICLE - STOLEN,0,X,X,3300    WILSHIRE                     BL,34.0636,-118.2960
230617332,2023-11-02,2023-11-01,2200,6,Hollywood,330,BURGLARY FROM VEHICLE,33,M,W,VINE,34.1037,-118.3267
232018198,2023-11-08,2023-11-08,1435,20,Olympic,888,TRESPASSING,0,X,X,3100    WILSHIRE                     BL,34.0652,-118.2878
230617534,2023-11-08,2023-11-04,1600,6,Hollywood,510,VEHICLE - STOLEN,0,X,X,OXFORD,34.0908,-118.3073
230617592,2023-11-08,2023-10-31,100,6,Hollywood,440,THEFT PLAIN - PETTY ($950 & UNDER),30,M,H,HOLLYWOOD,34.1017,-118.3224
230414223,2023-11-09,2023-11-09,40,4,Hollenbeck,510,VEHICLE - STOLEN,0,X,X,BOYLE,34.0487,-118.2192
232017828,2023-11-10,2023-11-10,1835,20,Olympic,762,LEWD CONDUCT,28,F,O,WILSHIRE,34.0617,-118.3004
230123893,2023-11-12,2023-11-12,400,1,Central,330,BURGLARY FROM VEHICLE,34,M,W,LOS ANGELES,34.0467,-118.2470
230220904,2023-11-13,2023-11-13,500,2,Rampart,310,BURGLARY,0,X,X,1000    WILSHIRE                     BL,34.0514,-118.2613
230617799,2023-11-14,2023-11-13,1900,6,Hollywood,330,BURGLARY FROM VEHICLE,36,M,W,YUCCA,34.1032,-118.3374
230618064,2023-11-14,2023-09-15,2130,6,Hollywood,352,PICKPOCKET,22,M,H,HOLLYWOOD,34.1015,-118.3387
232017919,2023-11-15,2023-11-15,30,20,Olympic,624,BATTERY - SIMPLE ASSAULT,35,F,H,3RD,34.0690,-118.2991
230124297,2023-11-17,2023-11-17,1600,1,Central,624,BATTERY - SIMPLE ASSAULT,28,M,H,6TH,34.0460,-118.2493
230221177,2023-11-18,2023-11-18,340,2,Rampart,624,BATTERY - SIMPLE ASSAULT,30,M,H,1200    WILSHIRE                     BL,34.0530,-118.2649
230124526,2023-11-21,2023-11-21,15,1,Central,350,"THEFT, PERSON",57,F,W,5TH,34.0502,-118.2539
230221344,2023-11-21,2023-11-21,2100,2,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,M,H,RAMPART,34.0624,-118.2813
231116314,2023-11-29,2023-11-29,200,11,Northeast,330,BURGLARY FROM VEHICLE,27,F,B,SUNSET,34.0982,-118.2819
230320550,2023-11-30,2023-11-30,850,3,Southwest,850,INDECENT EXPOSURE,22,F,B,EXPOSITION,34.0226,-118.3351
230618458,2023-11-30,2023-11-25,115,6,Hollywood,352,PICKPOCKET,23,F,O,1500    WILCOX                       AV,34.0980,-118.3310
230221864,2023-12-01,2023-11-29,1850,2,Rampart,330,BURGLARY FROM VEHICLE,38,M,K,LUCAS,34.0523,-118.2653
230125461,2023-12-01,2023-12-01,2035,1,Central,237,CHILD NEGLECT (SEE 300 W.I.C.),0,M,B,8TH,34.0437,-118.2547
230222107,2023-12-04,2023-12-04,1545,2,Rampart,210,ROBBERY,43,F,B,SANTA MONICA,34.0909,-118.2917
231718873,2023-12-07,2023-12-06,1200,17,Devonshire,354,THEFT OF IDENTITY,0,X,X,10100    CANOGA                       AV,34.2536,-118.5973
230100907,2023-12-07,2023-11-27,800,1,Central,121,"RAPE, FORCIBLE",23,F,O,800 S  HOPE                         ST,34.0466,-118.2590
230125892,2023-12-08,2023-12-07,730,1,Central,330,BURGLARY FROM VEHICLE,24,F,W,1100 S  BROADWAY,34.0396,-118.2590
230618788,2023-12-09,2023-12-08,440,6,Hollywood,210,ROBBERY,37,F,W,BEACHWOOD,34.1052,-118.3213
231016988,2023-12-10,2023-12-10,440,10,West Valley,310,BURGLARY,0,M,O,5400    RESEDA                       BL,34.1688,-118.5361
230618811,2023-12-10,2023-12-10,300,6,Hollywood,510,VEHICLE - STOLEN,0,X,X,LA MIRADA,34.0939,-118.3068
