crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
231416927,2023-09-04,2023-08-31,1749,14,Pacific,440,THEFT PLAIN - PETTY ($950 & UNDER),23,F,A,W  JEFFERSON,33.9782,-118.4164
231417188,2023-09-08,2023-09-08,1430,14,Pacific,440,THEFT PLAIN - PETTY ($950 & UNDER),0,X,X,13000    PACIFIC PROM,33.9759,-118.4156
231914018,2023-09-11,2023-09-11,630,19,Mission,510,VEHICLE - STOLEN,0,X,X,WILLIS,34.2355,-118.4553
231716204,2023-10-07,2023-10-07,1644,17,Devonshire,210,ROBBERY,0,X,X,PORTER RANCH                 DR,34.2756,-118.5701
231418675,2023-10-12,2023-10-12,1220,14,Pacific,763,STALKING,45,F,B,7200    CRESCENT PK,33.9759,-118.4156
231915252,2023-10-12,2023-10-12,1800,19,Mission,624,BATTERY - SIMPLE ASSAULT,27,M,H,PLUMMER,34.2427,-118.4502
231915458,2023-10-18,2023-10-17,1700,19,Mission,330,BURGLARY FROM VEHICLE,34,M,H,RAYEN,34.2318,-118.4575
231915907,2023-10-29,2023-10-28,2130,19,Mission,210,ROBBERY,23,M,H,CEDROS,34.2354,-118.4535
231419769,2023-11-03,2023-10-29,900,14,Pacific,648,ARSON,48,M,H,JEFFERSON,33.9759,-118.4156
231916502,2023-11-11,2023-11-11,445,19,Mission,210,ROBBERY,31,M,H,CEDROS,34.2318,-118.4535
231916911,2023-11-22,2023-11-21,1830,19,Mission,510,VEHICLE - STOLEN,0,X,X,VAN NUYS,34.2264,-118.4493
231913594,2023-09-01,2023-08-31,1600,19,Mission,510,VEHICLE - STOLEN,0,X,X,14300    LIGGETT                      ST,34.2399,-118.4450
232113699,2023-09-01,2023-08-29,2011,21,Topanga,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),35,M,X,6600    FALLBROOK                    AV,34.1883,-118.6274
231913680,2023-09-01,2023-09-01,1545,19,Mission,761,BRANDISH WEAPON,39,M,H,8400    VAN NUYS                     BL,34.2229,-118.4487
231913622,2023-09-01,2023-09-01,249,19,Mission,310,BURGLARY,0,X,X,9000    WOODMAN                      AV,34.2342,-118.4436
231913658,2023-09-01,2023-09-01,2200,19,Mission,860,BATTERY WITH SEXUAL CONTACT,16,F,H,CHASE                        ST,34.2247,-118.4503
232113608,2023-09-01,2023-09-01,1550,21,Topanga,310,BURGLARY,59,M,A,22900    STYLES                       ST,34.1838,-118.6249
231913640,2023-09-01,2023-08-31,2230,19,Mission,626,INTIMATE PARTNER - SIMPLE ASSAULT,99,F,O,8800    CEDROS                       AV,34.2301,-118.4535
232113700,2023-09-01,2023-08-28,2125,21,Topanga,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),35,M,X,6600    FALLBROOK                    AV,34.1883,-118.6274
231416579,2023-09-01,2023-08-31,1915,14,Pacific,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,X,5800    MCCONNELL                    AV,33.9754,-118.4178
231416648,2023-09-01,2023-09-01,1340,14,Pacific,624,BATTERY - SIMPLE ASSAULT,54,M,A,12700 W  JEFFERSON                    BL,33.9770,-118.4188
231913688,2023-09-01,2023-09-01,2200,19,Mission,860,BATTERY WITH SEXUAL CONTACT,15,F,H,CHASE                        ST,34.2247,-118.4503
231913656,2023-09-01,2023-08-31,1000,19,Mission,624,BATTERY - SIMPLE ASSAULT,39,M,H,PLUMMER,34.2427,-118.4502
231913585,2023-09-01,2023-08-31,1900,19,Mission,510,VEHICLE - STOLEN,0,X,X,WILLIS                       AV,34.2215,-118.4553
231416605,2023-09-01,2023-07-27,2000,14,Pacific,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,X,12900 W  JEFFERSON                    BL,33.9805,-118.4111
231416593,2023-09-01,2023-08-31,1900,14,Pacific,510,VEHICLE - STOLEN,0,X,X,12700    MILTON                       ST,33.9829,-118.4229
231913650,2023-09-01,2023-03-29,1545,19,Mission,354,THEFT OF IDENTITY,54,M,F,8000    NATICK                       AV,34.2161,-118.4544
231416581,2023-09-01,2023-08-31,1915,14,Pacific,487,BOAT - STOLEN,0,X,X,5800    MCCONNELL                    AV,33.9754,-118.4178
231913620,2023-09-01,2023-08-31,2110,19,Mission,310,BURGLARY,0,X,X,14500    NORDHOFF                     ST,34.2354,-118.4480
230513013,2023-09-01,2023-09-01,1745,5,Harbor,626,INTIMATE PARTNER - SIMPLE ASSAULT,32,F,A,1400 W  190TH                        ST,33.8584,-118.3022
231913669,2023-09-02,2023-09-02,2250,19,Mission,210,ROBBERY,39,M,H,8500    CEDROS                       AV,34.2265,-118.4565
231416614,2023-09-02,2023-09-02,510,14,Pacific,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,H,5300 S  CENTINELA                    AV,33.9851,-118.4136
231913631,2023-09-02,2023-09-02,1400,19,Mission,510,VEHICLE - STOLEN,0,X,X,NORDHOFF,34.2355,-118.4553
231913652,2023-09-02,2023-09-01,650,19,Mission,354,THEFT OF IDENTITY,27,F,O,8500    CEDROS                       AV,34.2265,-118.4565
231714600,2023-09-02,2023-09-01,2000,17,Devonshire,510,VEHICLE - STOLEN,0,X,X,20100    RINALDI                      ST,34.2751,-118.5728
231913639,2023-09-02,2023-09-02,330,19,Mission,626,INTIMATE PARTNER - SIMPLE ASSAULT,40,F,H,8500    TOBIAS                       AV,34.2248,-118.4517
231900898,2023-09-02,2023-08-31,1600,19,Mission,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25,M,H,8500    TOBIAS                       AV,34.2248,-118.4517
230513001,2023-09-02,2023-09-01,1300,5,Harbor,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,X,190TH                        ST,33.8583,-118.2992
231913665,2023-09-03,2023-09-03,231,19,Mission,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,X,9000    CEDROS                       AV,34.2336,-118.4535
231913666,2023-09-03,2023-09-03,231,19,Mission,510,VEHICLE - STOLEN,0,X,X,9000    CEDROS                       AV,34.2336,-118.4535
231913735,2023-09-03,2023-08-30,450,19,Mission,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",42,M,W,14100    NORDHOFF                     ST,34.2386,-118.4464
232113690,2023-09-03,2023-09-03,2015,21,Topanga,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",73,F,A,6200    SALE                         AV,34.1828,-118.6190
231416668,2023-09-03,2023-08-28,525,14,Pacific,320,"BURGLARY, ATTEMPTED",35,F,A,4900 S  CENTINELA                    AV,33.9884,-118.4177
231416922,2023-09-03,2023-09-01,1923,14,Pacific,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0,X,X,12900 W  JEFFERSON                    BL,33.9805,-118.4111
230513079,2023-09-03,2023-09-03,1800,5,Harbor,210,ROBBERY,71,M,H,HARBORGATE                   WY,33.8584,-118.3035
231913702,2023-09-04,2023-04-03,1915,19,Mission,624,BATTERY - SIMPLE ASSAULT,34,M,H,8700    HAZELTINE                    AV,34.2279,-118.4423
231913703,2023-09-04,2023-09-03,1905,19,Mission,210,ROBBERY,0,M,O,8400    VAN NUYS                     BL,34.2229,-118.4487
231913715,2023-09-04,2023-09-03,2300,19,Mission,510,VEHICLE - STOLEN,0,X,X,CEDROS,34.2318,-118.4535
231913719,2023-09-04,2023-09-04,445,19,Mission,761,BRANDISH WEAPON,24,M,H,8300    VAN NUYS                     BL,34.2215,-118.4488
231913701,2023-09-04,2023-09-03,1915,19,Mission,626,INTIMATE PARTNER - SIMPLE ASSAULT,44,F,O,8700    HAZELTINE                    AV,34.2279,-118.4423
231714692,2023-09-04,2023-09-04,735,17,Devonshire,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",39,M,W,19700    RINALDI                      ST,34.2749,-118.5621
230513087,2023-09-04,2023-09-02,1800,5,Harbor,510,VEHICLE - STOLEN,0,X,X,1500 W  190TH                        ST,33.8584,-118.3050
230513104,2023-09-04,2023-09-04,1500,5,Harbor,510,VEHICLE - STOLEN,0,X,X,19500    NORMANDIE                    AV,33.8542,-118.2992
230513094,2023-09-04,2023-09-04,700,5,Harbor,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,46,M,H,2200    VERMONT                      AV,33.8594,-118.2905
231913768,2023-09-05,2023-09-03,1800,19,Mission,624,BATTERY - SIMPLE ASSAULT,12,F,H,CHASE                        ST,34.2248,-118.4488
232113864,2023-09-05,2023-09-05,1630,21,Topanga,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",46,F,B,6400    FALLBROOK                    AV,34.1883,-118.6274
231416923,2023-09-05,2023-09-04,1430,14,Pacific,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0,X,X,12900 W  JEFFERSON                    BL,33.9805,-118.4111
231913776,2023-09-05,2023-09-02,603,19,Mission,354,THEFT OF IDENTITY,43,F,H,9300    SYLMAR                       AV,34.2402,-118.4469
231913772,2023-09-05,2023-09-05,930,19,Mission,624,BATTERY - SIMPLE ASSAULT,67,M,H,14800    ROSCOE                       BL,34.2265,-118.4565
232113863,2023-09-05,2023-08-19,1900,21,Topanga,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,W,6600    FALLBROOK                    AV,34.1883,-118.6274
232113766,2023-09-05,2023-09-05,805,21,Topanga,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),38,F,W,6100    FALLBROOK                    AV,34.1810,-118.6233
231416718,2023-09-05,2023-09-05,400,14,Pacific,310,BURGLARY,42,M,W,12100    BEATRICE                     ST,33.9841,-118.4080
232113865,2023-09-05,2023-09-05,1200,21,Topanga,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),16,M,W,6400    FALLBROOK                    AV,34.1883,-118.6274
231913777,2023-09-05,2023-09-05,900,19,Mission,354,THEFT OF IDENTITY,74,F,A,8200    TYRONE                       AV,34.2196,-118.4439
231913744,2023-09-05,2023-09-02,935,19,Mission,354,THEFT OF IDENTITY,37,F,W,14700    TITUS                        ST,34.2197,-118.4536
231417174,2023-09-05,2023-09-03,1800,14,Pacific,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),40,M,B,12900 W  JEFFERSON                    BL,33.9805,-118.4111
231913741,2023-09-05,2023-09-02,611,19,Mission,354,THEFT OF IDENTITY,29,F,H,9500    VAN NUYS                     BL,34.2427,-118.4502
230513162,2023-09-05,2023-09-05,1513,5,Harbor,624,BATTERY - SIMPLE ASSAULT,31,F,H,19500    NORMANDIE                    AV,33.8542,-118.2992
231913780,2023-09-06,2023-09-01,1930,19,Mission,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,X,14500    PLUMMER                      ST,34.2427,-118.4481
231913790,2023-09-06,2023-09-05,1730,19,Mission,510,VEHICLE - STOLEN,0,X,X,PLUMMER                      ST,34.2427,-118.4481
231416958,2023-09-06,2023-08-09,610,14,Pacific,480,BIKE - STOLEN,40,F,O,4900 S  CENTINELA                    AV,33.9884,-118.4177
232113871,2023-09-06,2023-09-04,1850,21,Topanga,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,W,6700    FALLBROOK                    AV,34.1883,-118.6274
231913828,2023-09-07,2023-09-06,1840,19,Mission,624,BATTERY - SIMPLE ASSAULT,37,M,H,8100    KESTER                       AV,34.2193,-118.4575
231913923,2023-09-07,2023-09-07,1040,19,Mission,330,BURGLARY FROM VEHICLE,47,M,H,14700    PARTHENIA                    ST,34.2281,-118.4535
231913853,2023-09-07,2023-09-05,1900,19,Mission,510,VEHICLE - STOLEN,0,X,X,8800    CEDROS                       AV,34.2301,-118.4535
231714722,2023-09-07,2023-09-05,2330,17,Devonshire,510,VEHICLE - STOLEN,0,X,X,CORBIN                       AV,34.2749,-118.5621
231913827,2023-09-07,2023-09-06,1800,19,Mission,922,CHILD STEALING,30,M,B,9500    VAN NUYS                     BL,34.2427,-118.4502
232113900,2023-09-07,2023-09-07,1500,21,Topanga,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25,M,O,22600    MOBILE                       ST,34.1881,-118.6218
231913870,2023-09-07,2023-09-07,1000,19,Mission,946,OTHER MISCELLANEOUS CRIME,47,M,X,9000    WOODMAN                      AV,34.2329,-118.4387
231913814,2023-09-07,2023-09-06,1845,19,Mission,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,M,H,WILLIS                       AV,34.2197,-118.4553
231913881,2023-09-07,2023-08-28,1400,19,Mission,354,THEFT OF IDENTITY,28,F,B,8500    TOBIAS                       AV,34.2248,-118.4517
231715734,2023-09-07,2023-09-06,1400,17,Devonshire,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),69,F,O,19800    RINALDI                      ST,34.2750,-118.5657
232113908,2023-09-07,2023-09-07,1850,21,Topanga,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",61,F,H,6900    MCLAREN                      AV,34.1959,-118.6245
